,bonus,exercised_stock_options,expenses,from_messages,from_poi_to_this_person,from_this_person_to_poi,long_term_incentive,other,restricted_stock,salary,shared_receipt_with_poi,to_messages,total_payments,total_stock_value,bonus_ratio,expenses_ratio,other_ratio,salary_ratio,to_poi_ratio,from_poi_ratio,stock_to_salary
0,4.0,1.1001344287490233,3.0,1.0,3.0,2.0,4.0,3.0,0.8698024758571616,4.0,3.0,2.0,0.34242160867083477,0.974911627093277,4.0,4.0,4.0,4.0,3.0,3.0,4.0
1,4.0,1.0957377312596381,2.0,3.0,3.0,4.0,4.0,2.0,1.0220278829618394,4.0,4.0,4.0,0.8965339842270567,1.0045597760241982,4.0,1.0,2.0,2.0,2.0,4.0,4.0
2,1.0,0.7057953862065005,2.0,2.0,2.0,3.0,0.0,4.0,0.6777243370037052,2.0,1.0,1.0,0.6109002850612942,0.5287018612194653,1.0,1.0,4.0,2.0,4.0,4.0,3.0
3,3.0,-1.5496995014454849,4.0,0.0,0.0,0.0,3.0,4.0,0.6985942541295972,2.0,0.0,0.0,0.6655349982939212,0.3404601758142205,1.0,3.0,4.0,1.0,0.0,0.0,2.0
4,4.0,-1.5496995014454849,2.0,3.0,4.0,3.0,2.0,1.0,0.35551065732482257,2.0,4.0,3.0,0.571779286991137,-0.07626150793682486,4.0,2.0,1.0,2.0,4.0,3.0,1.0
5,0.0,1.1696927213278383,4.0,0.0,0.0,0.0,0.0,2.0,-1.6040844713511089,0.0,0.0,0.0,0.008764062990649132,1.0379432617048245,0.0,4.0,2.0,0.0,0.0,0.0,0.0
6,0.0,0.9632175298993951,3.0,0.0,0.0,0.0,0.0,3.0,0.913734972927003,1.0,0.0,0.0,0.2766317676035931,0.8451737385753163,0.0,4.0,4.0,4.0,0.0,0.0,4.0
7,4.0,-1.5496995014454849,1.0,2.0,4.0,3.0,0.0,3.0,0.6411779227227716,3.0,3.0,3.0,0.5532219677308688,0.27072023335851814,4.0,1.0,3.0,3.0,4.0,4.0,1.0
8,4.0,1.18706440411947,4.0,2.0,4.0,3.0,4.0,4.0,1.150291609699204,4.0,4.0,4.0,1.379422193395116,1.1327217221444799,1.0,1.0,3.0,1.0,3.0,4.0,4.0
9,2.0,0.4786232707248046,4.0,1.0,3.0,2.0,1.0,3.0,0.5456237795155874,3.0,3.0,2.0,0.5224049795760451,0.29278319944025444,2.0,4.0,3.0,3.0,4.0,4.0,2.0
10,2.0,0.5665251066345491,4.0,3.0,3.0,3.0,2.0,3.0,0.7381186655584002,4.0,4.0,3.0,0.5655149492904585,0.4757283118061179,2.0,3.0,3.0,3.0,2.0,3.0,3.0
11,2.0,0.7068445856417644,2.0,3.0,3.0,4.0,0.0,2.0,0.4908700683277416,2.0,3.0,3.0,0.4939005768371337,0.4756049877113582,3.0,2.0,2.0,3.0,3.0,4.0,3.0
12,4.0,-1.5496995014454849,3.0,0.0,0.0,0.0,4.0,3.0,0.7986672330181029,4.0,0.0,0.0,0.6479846305365679,0.4620124174509171,3.0,2.0,3.0,3.0,0.0,0.0,2.0
13,2.0,0.49854104513078357,0.0,0.0,0.0,0.0,2.0,4.0,0.564540761969872,3.0,0.0,0.0,0.6243362784537717,0.3170578977240502,1.0,0.0,4.0,2.0,0.0,0.0,2.0
14,4.0,0.7156875648582843,1.0,4.0,3.0,4.0,2.0,1.0,0.35551065732482257,1.0,3.0,4.0,0.7678216608265604,0.45454988624312576,4.0,1.0,1.0,1.0,2.0,2.0,3.0
15,3.0,0.587094576649175,4.0,1.0,2.0,2.0,3.0,1.0,0.42316477026235405,2.0,4.0,3.0,0.6119618822729982,0.3340478523286089,2.0,3.0,1.0,2.0,2.0,3.0,2.0
16,2.0,0.23718028227115404,3.0,0.0,0.0,0.0,0.0,3.0,0.4597384740317403,1.0,0.0,0.0,0.4550947759281226,0.1117051558875639,3.0,3.0,3.0,3.0,0.0,0.0,1.0
17,0.0,0.31820281805888145,0.0,0.0,0.0,0.0,0.0,0.0,-1.6040844713511089,0.0,0.0,0.0,-2.215852834449801,-0.056215167469194804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.0,-1.5496995014454849,2.0,0.0,0.0,0.0,1.0,1.0,0.43906363240388707,1.0,0.0,0.0,0.43395114106749255,0.02522494254238482,2.0,2.0,2.0,3.0,0.0,0.0,1.0
19,3.0,-1.5496995014454849,0.0,3.0,3.0,3.0,4.0,2.0,0.5308872595682821,3.0,4.0,4.0,0.6663862070439671,0.136757224692991,2.0,0.0,2.0,2.0,2.0,3.0,1.0
20,0.0,0.8648280066543269,3.0,2.0,1.0,1.0,1.0,4.0,0.5330904241961115,2.0,1.0,1.0,0.45743156544997826,0.6621759761009338,0.0,3.0,4.0,3.0,1.0,1.0,4.0
21,0.0,0.891312380187971,1.0,0.0,0.0,0.0,1.0,1.0,0.8201532692149097,1.0,0.0,0.0,0.20526898891540435,0.746607274359434,0.0,3.0,1.0,4.0,0.0,0.0,4.0
22,2.0,0.5990277585435818,1.0,3.0,1.0,1.0,2.0,2.0,0.42316477026235405,2.0,1.0,2.0,0.4858560604790917,0.34643524278175647,3.0,1.0,2.0,3.0,1.0,1.0,2.0
23,0.0,0.5854347195162763,0.0,1.0,3.0,2.0,0.0,0.0,0.6897295439724594,0.0,3.0,2.0,-2.215852834449801,0.45002640900044405,0.0,0.0,0.0,0.0,4.0,3.0,0.0
24,0.0,0.561785252705496,0.0,1.0,1.0,1.0,0.0,0.0,0.5424228295897489,0.0,1.0,2.0,-2.215852834449801,0.3511114530577583,0.0,0.0,0.0,0.0,2.0,1.0,0.0
25,0.0,0.7178813542645486,0.0,0.0,0.0,0.0,0.0,0.0,0.4789000244318348,0.0,0.0,0.0,-2.215852834449801,0.4783818970937631,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,4.0,0.23296536376744692,1.0,4.0,4.0,4.0,0.0,3.0,0.5737411262694395,3.0,4.0,4.0,0.7179258488004497,0.22129840509214055,4.0,1.0,2.0,1.0,3.0,3.0,1.0
27,0.0,-1.5496995014454849,0.0,2.0,1.0,1.0,0.0,0.0,-1.6040844713511089,0.0,1.0,2.0,-2.215852834449801,-2.4564562741612646,0.0,0.0,0.0,0.0,1.0,1.0,0.0
28,1.0,-1.5496995014454849,2.0,1.0,1.0,2.0,0.0,1.0,-1.6040844713511089,2.0,1.0,1.0,0.2534887909092729,-2.4564562741612646,1.0,4.0,2.0,4.0,4.0,3.0,0.0
29,1.0,0.6036493307338909,4.0,4.0,3.0,4.0,2.0,2.0,0.35551065732482257,3.0,2.0,4.0,0.49171198262042753,0.33860096878380763,2.0,3.0,2.0,4.0,2.0,2.0,2.0
30,0.0,0.26408308968357064,0.0,0.0,0.0,0.0,0.0,0.0,-1.6040844713511089,0.0,0.0,0.0,-2.215852834449801,-0.12575863094318332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.0,-1.5496995014454849,3.0,3.0,1.0,1.0,1.0,4.0,0.6315896749301494,1.0,2.0,1.0,0.3820072046022594,0.25907400252272156,2.0,4.0,4.0,4.0,2.0,1.0,2.0
32,2.0,0.6880859331730477,2.0,1.0,4.0,2.0,4.0,2.0,0.42316477026235405,2.0,2.0,2.0,0.6194008974310468,0.4438884830824101,2.0,1.0,2.0,1.0,4.0,4.0,3.0
33,4.0,0.8540735885001826,3.0,4.0,4.0,4.0,4.0,2.0,0.7024648201982112,4.0,4.0,4.0,0.9321727810092644,0.6763635088172268,4.0,1.0,1.0,1.0,4.0,3.0,4.0
34,2.0,-0.009878504553408047,2.0,3.0,4.0,2.0,2.0,2.0,0.37522518642102143,1.0,2.0,2.0,0.5124093887375433,-0.028891217712146634,3.0,2.0,2.0,2.0,4.0,2.0,1.0
35,0.0,-1.5496995014454849,4.0,0.0,0.0,0.0,0.0,0.0,-1.6040844713511089,0.0,0.0,0.0,0.1880501766246077,-2.4564562741612646,0.0,4.0,0.0,0.0,0.0,0.0,0.0
36,2.0,0.6984032438705607,1.0,3.0,4.0,3.0,3.0,1.0,0.5083983428262474,2.0,3.0,3.0,0.5424904506222875,0.46984157094090306,2.0,1.0,1.0,3.0,4.0,3.0,3.0
37,0.0,0.9472597838653289,1.0,4.0,4.0,4.0,0.0,0.0,0.5402273927729301,1.0,3.0,3.0,0.04819314274116899,0.7621566531730961,0.0,4.0,0.0,4.0,4.0,3.0,4.0
38,0.0,-1.5496995014454849,2.0,0.0,0.0,0.0,0.0,0.0,-1.6040844713511089,0.0,0.0,0.0,-0.22144321405594178,-2.4564562741612646,0.0,4.0,0.0,0.0,0.0,0.0,0.0
39,0.0,-1.5496995014454849,0.0,4.0,3.0,4.0,0.0,0.0,0.52434378698068,0.0,2.0,3.0,-2.215852834449801,0.12880928739817477,0.0,0.0,0.0,0.0,2.0,2.0,0.0
40,0.0,0.703373312650242,0.0,0.0,0.0,0.0,1.0,1.0,-1.6040844713511089,1.0,0.0,0.0,0.4461426597541236,0.43872616032379647,0.0,0.0,2.0,1.0,0.0,0.0,4.0
41,0.0,0.4897607129265126,0.0,0.0,0.0,0.0,0.0,0.0,-1.6040844713511089,0.0,0.0,0.0,0.00090691943498464,0.16423549910961616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.7440519323838933,1.0,4.0,1.0,1.0,4.0,4.0,-1.6040844713511089,4.0,2.0,3.0,0.8902480232147528,0.4909978954293627,0.0,1.0,4.0,1.0,1.0,1.0,2.0
43,0.0,0.4607155582813109,0.0,1.0,1.0,1.0,0.0,0.0,-1.6040844713511089,0.0,1.0,1.0,0.14333089123406495,0.1269126833490256,0.0,0.0,0.0,0.0,1.0,1.0,0.0
44,0.0,-1.5496995014454849,0.0,0.0,0.0,0.0,2.0,4.0,-1.6040844713511089,1.0,0.0,0.0,0.5021525482223255,-2.4564562741612646,0.0,0.0,4.0,1.0,0.0,0.0,0.0
45,1.0,0.8796224817234684,4.0,0.0,0.0,0.0,0.0,2.0,0.7981064219493,1.0,0.0,0.0,0.17306372839080802,0.7283700285569806,4.0,4.0,3.0,4.0,0.0,0.0,4.0
46,2.0,-1.5496995014454849,1.0,0.0,0.0,0.0,1.0,3.0,0.555414950512037,3.0,0.0,0.0,0.5222974630829199,0.16654944082864906,3.0,1.0,3.0,3.0,0.0,0.0,1.0
47,4.0,0.8167684546294348,3.0,4.0,4.0,3.0,3.0,3.0,0.8726802831982186,4.0,4.0,4.0,0.7760357606355177,0.7093058194731704,4.0,1.0,3.0,2.0,3.0,2.0,3.0
48,1.0,0.5490902473393102,2.0,0.0,0.0,0.0,4.0,3.0,0.5513234550466539,1.0,0.0,0.0,0.6684298053272133,0.34532065821584434,1.0,1.0,2.0,1.0,0.0,0.0,2.0
49,4.0,0.6379215392985007,0.0,1.0,2.0,1.0,4.0,1.0,0.5308872595682821,2.0,1.0,1.0,0.7022077516740274,0.4141334257166553,1.0,0.0,1.0,1.0,4.0,1.0,2.0
