,bonus,deferral_payments,deferred_income,director_fees,exercised_stock_options,expenses,from_messages,from_poi_to_this_person,from_this_person_to_poi,long_term_incentive,other,restricted_stock,restricted_stock_deferred,salary,shared_receipt_with_poi,to_messages,total_payments,total_stock_value,bonus_ratio,expenses_ratio,other_ratio,salary_ratio,to_poi_ratio,from_poi_ratio
0,0.9043831471880986,0.0,1.0,0.0,0.9682362167983571,0.8716751099396755,0.3075829692188485,0.5997778749815036,0.2673030511678673,0.9250965225778032,0.747310107981864,0.8981659999984153,0.0,0.9302149007845979,0.8033619495454044,0.7073771078117348,0.7115657142519412,0.956031688811858,1.0,0.09296109296109296,0.3461815661815662,0.8785904711638153,0.28813836175834734,0.2222222222222222
1,0.9775604930844453,0.0,0.0,0.0,0.9666296852738641,0.833568304100324,0.4900691511912733,0.7157781294777495,0.5703328164067214,0.9362101451407999,0.619334030019147,0.9534327473943013,0.0,1.0,0.9054576315660141,0.8515109849266707,0.8656881030162767,0.9642921175120889,0.18613530604939746,0.003378666306717852,0.002547820290333117,0.135012422487355,0.15063832847844066,0.2777777777777778
2,0.7679216315348802,0.0,1.0,0.0,0.8241466803423,0.8134419780177455,0.38534895904277866,0.42083594289667975,0.4497657697000578,0.0,0.8833229738289992,0.8284303745059763,0.0,0.880942926891095,0.5371548400637295,0.5631282473541519,0.7862411352729002,0.8317108091193254,0.02880404813649486,0.011419817005466881,0.7851368716268649,0.11152129375866372,0.35872463768115936,0.358974358974359
3,0.8551374086909924,0.0,0.0,0.0,0.0,0.9464474090864348,0.0,0.0,0.0,0.8612304414416906,0.8492590386754709,0.8360073779767346,0.0,0.8850486878829968,0.0,0.0,0.8014373894702811,0.779263790442905,0.08703873766687326,0.04453497156764728,0.34211637435101705,0.08920303891877952,0.0,0.0
4,0.8832146653144468,0.0,1.0,0.0,0.0,0.8497451066172164,0.5198812243474321,0.8448935003023074,0.5411200636472314,0.8305816964476083,0.3830927266742652,0.7114479181538232,0.0,0.8899634975432176,0.913657347725709,0.8168586643042706,0.7753599098403059,0.6631587423845564,0.22006384444063523,0.021849609924254117,0.00029646854718821546,0.15456455050577583,0.47556983632894867,0.1736111111111111
5,0.0,1.0,0.0,0.0,0.9936524729969188,0.9127866749063979,0.0,0.0,0.0,0.0,0.49262132473221254,0.0,0.0,0.0,0.0,0.0,0.6187612575424952,0.9735932682811471,0.0,0.8560262588782892,0.03135257374331727,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.9182074589025006,0.8829320866249214,0.0,0.0,0.0,0.0,0.7369723616003968,0.9141160720935407,0.0,0.8600603712821976,0.0,0.0,0.6932667411392562,0.9198847246179682,0.0,0.14972800444074383,0.4106300305301138,0.46378165460688464,0.0,0.0
7,0.880646431034154,1.0,1.0,0.0,0.0,0.7870075517082395,0.38792840699604114,0.8746303701704214,0.41270503461117686,0.0,0.7137914883448679,0.8151618834918526,0.0,0.9031388290537047,0.8354234382683374,0.7763027539350972,0.7701983243937005,0.7598331735920594,0.23237588100465395,0.011080663256268351,0.06826611842634989,0.20423818368057858,0.8476035020032646,0.275
8,0.9915991333047008,1.0,1.0,0.0,1.0,0.932806958341832,0.3772049144285748,0.7686637629750227,0.4705534557281361,0.9768872419748248,1.0,1.0,0.0,0.9974378848178838,0.9251815874301687,0.8685349597565604,1.0,1.0,0.01950757085812252,0.0009640034718879749,0.10003620806773919,0.010923154156142175,0.17871976719339838,0.4444444444444444
9,0.8370384769219689,0.0,0.0,0.0,0.7411391125284442,0.9516568794024395,0.29596407973174493,0.6331205928210578,0.32318594965514247,0.7228579961227833,0.7557287439983841,0.780470127393409,0.0,0.8996792869161749,0.8047273963010092,0.7036414083930371,0.7616267998465795,0.7659802540947386,0.1361016879879021,0.09901720056213864,0.1574396911381421,0.2279940799960468,0.36981921410428803,0.375
