Id,SalePrice
1461,157225.53803072404
1462,205403.86380529622
1463,232578.73504642252
1464,244144.1487033684
1465,249036.94995463596
1466,226248.32865240652
1467,222121.42899603856
1468,215896.2668473766
1469,234661.2078248853
1470,156366.8911278964
1471,251391.63284806843
1472,122973.4592848203
1473,126307.98936906709
1474,189673.53823074204
1475,149683.16290910196
1476,454636.28403774515
1477,328143.8842595559
1478,380929.0010828584
1479,372803.116098498
1480,600936.3493502093
1481,412205.2018836159
1482,261751.65125049275
1483,232270.7119368896
1484,217257.29749775492
1485,226543.33039702315
1486,249107.29502001128
1487,409895.80572652083
1488,301607.04505380976
1489,257436.7122577431
1490,290779.2639718546
1491,248738.1020655447
1492,123456.1680446681
1493,214611.76196611038
1494,377254.5643321263
1495,368025.65441149916
1496,299145.89425889635
1497,235156.2985490002
1498,216440.94559434222
1499,203263.04031055712
1500,202086.70579209627
1501,222597.86936442493
1502,202341.20874638914
1503,345849.41379755724
1504,295115.35098187655
1505,284219.94188664015
1506,230801.50819658634
1507,318876.7717962129
1508,250680.2813694171
1509,198401.88674580952
1510,187116.60331106017
1511,200410.9231663353
1512,218456.18351301525
1513,181227.23275180865
1514,203199.8496223566
1515,238539.5858206132
1516,189256.6496410792
1517,195651.77505294696
1518,171767.9019216965
1519,284247.48246109486
1520,171155.51910179397
1521,174901.48127519793
1522,212960.26543031898
1523,146361.44978413015
1524,153284.98944435423
1525,156774.85978915612
1526,151067.91721539685
1527,138548.68556317198
1528,165379.15812362495
1529,188639.0628318968
1530,220518.50934342886
1531,154420.45974885093
1532,128991.20074267108
1533,183567.94553715715
1534,156228.4394494728
1535,188205.34651048743
1536,145179.67075660964
1537,99843.02479756206
1538,186459.8624392037
1539,244645.98456163096
1540,126706.89821307943
1541,175055.5786162999
1542,181181.78386471688
1543,230343.91404923153
1544,108312.75757241918
1545,137784.62221262095
1546,164126.10270635408
1547,171928.34998770137
1548,164627.2270854656
1549,147656.85182627244
1550,169212.41140980163
1551,147812.32403403908
1552,174596.4792912324
1553,171667.54896024498
1554,145181.38629383594
1555,211715.23232034093
1556,121067.6590659425
1557,143363.04857672993
1558,128333.3813874894
1559,104283.65431208187
1560,171251.58918626167
1561,164904.31247830688
1562,165328.28041325137
1563,154909.14842880427
1564,204557.02264550785
1565,187468.5002959598
1566,284009.7534129578
1567,109185.4456403895
1568,298479.34597608575
1569,183298.7509264991
1570,173263.0973814022
1571,155235.03212163766
1572,180342.00934763742
1573,295420.9677049968
1574,155433.32665626853
1575,273852.0601975764
1576,299252.4205191618
1577,239841.93319863582
1578,182726.3150089917
1579,177745.89934969216
1580,243168.6496996281
1581,184126.68606080118
1582,160285.65378816222
1583,406340.977006807
1584,295185.8124851083
1585,181520.04883754253
1586,103483.12577798458
1587,135765.83665093035
1588,183852.16693690614
1589,131155.4175083317
1590,169138.03652059974
1591,125773.83840435547
1592,159417.18876508973
1593,154869.05576549974
1594,152924.46710119292
1595,150261.60391163584
1596,282891.0951249792
1597,236445.6832910995
1598,252730.414423282
1599,210476.71120996415
1600,215633.23859055995
1601,95872.18083494384
1602,149955.69567383634
1603,99050.27849964659
1604,345793.37751104304
1605,309724.27551643265
1606,207900.18325388446
1607,215243.74101827655
1608,271643.7870390481
1609,238999.08824932144
1610,198754.84175465678
1611,180905.89217921143
1612,227172.4784225898
1613,223188.45649300894
1614,150283.47623811552
1615,112605.7679701339
1616,103581.44825172027
1617,118488.11453047648
1618,163294.62565546017
1619,174426.38096658853
1620,219098.01453986447
1621,175653.34592144887
1622,181802.55933973283
1623,335392.6342858026
1624,275801.94065143215
1625,156724.2942822981
1626,211794.94317271502
1627,242072.10949147062
1628,342206.855425142
1629,220671.07374758428
1630,440332.96711692185
1631,266661.3518825571
1632,300065.14010131446
1633,213506.75823438648
1634,237741.6693845073
1635,226755.59791947663
1636,206945.9526479912
1637,251349.8411654654
1638,248188.51002422173
1639,230633.71572940852
1640,306652.42000124766
1641,226256.44164014194
1642,289845.2949132621
1643,285049.16602939693
1644,286851.0499600835
1645,257940.3456525312
1646,198308.96137695518
1647,200955.93236200025
1648,170810.02759415813
1649,176939.70128903378
1650,148961.9039248658
1651,153408.8475787508
1652,124584.26252994909
1653,126278.20555722054
1654,191220.54886492266
1655,180335.93330194236
1656,185853.9270492797
1657,193295.06873362252
1658,192997.8000075659
1659,158146.56407263194
1660,193494.42652814212
1661,570079.0742860889
1662,461778.05079275795
1663,483515.17811069475
1664,620349.9326245537
1665,392437.68769171607
1666,413101.9359418606
1667,455313.18285777775
1668,424396.0262352459
1669,371443.4038349499
1670,434835.4484962382
1671,354308.77837509586
1672,553164.7251995333
1673,379193.39529824955
1674,313767.7952889423
1675,252652.72107341315
1676,249155.86213922102
1677,271563.29230129166
1678,584282.3886272471
1679,499438.650675518
1680,404381.27614029223
1681,309015.42208801844
1682,401105.93010850286
1683,246765.24929042588
1684,227328.32208473477
1685,225899.5257031455
1686,221909.0024171855
1687,215419.71658058563
1688,243843.70876506562
1689,246589.3478567604
1690,244977.70940732292
1691,232745.67549353046
1692,320198.6831014962
1693,215070.9290506644
1694,229719.07368592007
1695,213093.0232485124
1696,349777.99659083097
1697,213472.66612708365
1698,441322.52583536285
1699,411849.6535040219
1700,319236.89736290503
1701,336269.65029722697
1702,318177.40694283525
1703,322038.62963026913
1704,363606.3549511816
1705,291697.11200856755
1706,381203.67242526775
1707,266570.04536828236
1708,264364.8061282997
1709,341309.0165248451
1710,282490.8978848686
1711,335068.84406837047
1712,326633.889589369
1713,350221.814719988
1714,278864.55708828283
1715,260370.84443232082
1716,229557.2278927499
1717,213132.19908110696
1718,167082.02947019672
1719,258161.1794153517
1720,302789.00404916017
1721,202977.95812766807
1722,155998.1181262655
1723,196782.36853660055
1724,272130.30460177024
1725,297379.275190671
1726,240131.64919699845
1727,217752.33617280712
1728,228087.78943958008
1729,209874.82609221787
1730,194294.89993393322
1731,155848.5978549371
1732,165561.91893781224
1733,151651.94927746855
1734,159088.41140729035
1735,161430.09697349524
1736,151455.8559210234
1737,383882.88560925465
1738,287788.8053902917
1739,333632.4179237749
1740,290145.38310062734
1741,239671.9669861699
1742,216906.1335468751
1743,222625.34058403052
1744,373572.4177446978
